x,y,topo,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,dep_top_1,dep_top_2,dep_top_3,dep_top_4,dep_top_5,dep_top_6,dep_top_7,dep_top_8,dep_top_9,dep_top_10,dep_top_11,dep_top_12,dep_bot_1,dep_bot_2,dep_bot_3,dep_bot_4,dep_bot_5,dep_bot_6,dep_bot_7,dep_bot_8,dep_bot_9,dep_bot_10,dep_bot_11,dep_bot_12
108952.6,452975.2,-1.84,14.31,33.5,61.17,82.55,91.66,89.76,80.74,68.5,55.88,44.53,35.19,28.19,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108953.2,452976,-1.87,13.85,38.24,65.96,85.3,92.41,89.24,79.66,67.32,54.81,43.67,34.53,27.39,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108953.7,452976.8,-1.87,14.09,37.4,65.38,85.03,92.31,89.2,79.64,67.29,54.79,43.64,34.48,27.31,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108954,452977.6,-1.85,14.01,34.11,62.63,84.15,92.99,90.7,81.35,68.86,56.06,44.6,35.16,28.07,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108954.2,452978,-1.86,13.97,36.15,64.69,85.38,93.33,90.44,80.81,68.26,55.52,44.14,34.8,27.62,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108953.6,452977.4,-1.86,14.08,34.96,63.82,85.05,93.28,90.48,80.87,68.3,55.54,44.14,34.79,27.71,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108953.9,452978.2,-1.88,13.79,39.44,68.33,87.56,93.88,89.91,79.77,67.11,54.48,43.28,34.12,26.96,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108954,452978.2,-1.88,13.74,36.95,66.62,87.13,94.32,90.74,80.68,67.93,55.13,43.76,34.44,27.41,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108954.1,452978.4,-1.88,13.76,39.36,68.81,88.26,94.51,90.37,80.07,67.28,54.55,43.29,34.06,26.89,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108954.1,452978.2,-1.87,13.76,37.76,67.45,87.86,94.89,91.12,80.91,68.04,55.15,43.73,34.36,27.14,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108954.2,452978.1,-1.86,13.73,36.6,66.28,87.51,95.26,91.88,81.75,68.81,55.77,44.19,34.69,27.41,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108953.4,453015,-5.7,87.35,91.11,92.22,88.12,80.03,69.8,58.97,48.66,39.54,31.89,25.59,20.11,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108954.3,453014.8,-5.6,86.7,91.98,92.49,87.61,79.11,68.78,58,47.81,38.85,31.38,25.28,19.14,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108955.2,453014.8,-5.72,91.18,95.89,94.69,88.66,79.63,69.06,58.19,47.97,39.03,31.63,25.8,21.18,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108956,453015.4,-5.68,96.61,98.93,95.77,89.08,79.99,69.46,58.63,48.43,39.5,32.17,26.77,24.96,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108956.1,453016.4,-5.71,99.74,98.29,93.68,87.3,78.83,68.79,58.27,48.28,39.47,32.26,27.25,27.76,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108956.2,453017.3,-5.75,95.64,89.33,85.3,80.61,73.55,64.61,54.98,45.71,37.47,30.7,25.97,26.64,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108956.8,453018.1,-5.75,80.99,74.15,72.77,70.55,65.4,57.98,49.56,41.27,33.81,27.55,22.72,18.81,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
108957.7,453018.4,-5.71,65.27,62.6,64,63.07,58.84,52.26,44.67,37.15,30.32,24.45,19.29,13.1,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
